Index Project Svr,DNS Name,EC2 Name,uptime or status, .. , no users,avg load for 1 , for 5 min,15 min,disk,size,GB,used,%
,test.ks.kuali.org, wsa133.uits.indiana.edu, page not found, ,
,links.kuali.org,ghs.google.com, Google Hosted Services(ghs) no check,
,i-46ebfa2d, deploy.ks, ,running,deploy-1.2
,kuali-dev-lb, dev.ks, ,OutOfService,kuali-dev-lb-52213673.us-east-1.elb.amazonaws.com
,cf.ks.kuali.org,d1qfka0f5mzsdv.cloudfront.net, cloudfront-no check,
,s3browse.ks.kuali.org,d2rowqzyjjug61.cloudfront.net, S3 Data Archiver no check,
,ux.ks.kuali.org,ux.ks.kuali.org.s3-website-us-east-1.amazonaws.com, S3 Data Archiver no check,
,standalone.ks.kuali.org, ec2-50-17-40-108.compute-1.amazonaws.com,  14:39:54 up 375 days, 13:28,  0 users,  load average: 0.04, 0.02, 0.00, /dev/sda1,50G,17G,31G,36%,/,,standalone-deploy
,ks-staging2-lb, staging2.ks, ,OutOfService,ks-staging2-lb-508570320.us-east-1.elb.amazonaws.com
,ks-dev2-lb, dev2.ks, ,OutOfService,ks-dev2-lb-1875511927.us-east-1.elb.amazonaws.com
,i-040ba964, deploy2.ks, ,running,deploy-1.3
,ci.ks.kuali.org, ec2-50-19-187-43.compute-1.amazonaws.com, Timedout alarm, ,Jenkins
5,env5.ks.kuali.org, ec2-23-20-232-244.compute-1.amazonaws.com, Fail 256, ,
,env33.ks.kuali.org, ec2-107-20-15-140.compute-1.amazonaws.com, Fail 256, ,
,the-most-awesome-environment-ever.ks.kuali.org, ec2-184-72-192-98.compute-1.amazonaws.com, Fail 65280, ,
,staging.ks.kuali.org, ec2-107-21-74-59.compute-1.amazonaws.com,  18:41:33 up 362 days, 21:48,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,2.3G,23G,10%,/,,env5
9,env9.ks.kuali.org, ec2-23-23-39-241.compute-1.amazonaws.com, Fail 256, ,
,demo.ks.kuali.org, ec2-50-19-44-102.compute-1.amazonaws.com,  18:41:59 up 268 days,  3:05,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,3.0G,22G,13%,/,,env9
,oraperf.ks.kuali.org,oraperf.cmoi3j9ebowf.us-east-1.rds.amazonaws.com, RDS-no check,
,oracle.ks.kuali.org,oracle-xlarge-iops.cmoi3j9ebowf.us-east-1.rds.amazonaws.com, RDS-no check,
,jc.ks.kuali.org, ec2-23-22-202-228.compute-1.amazonaws.com,  18:42:01 up 150 days,  2:49,  1 user,  load average: 0.37, 0.33, 0.22, /dev/xvda1,7.9G,3.1G,4.8G,40%,/,,temp-server-for-jc
,env17.ks.kuali.org, ec2-54-224-226-92.compute-1.amazonaws.com, Fail 256, ,
1,env1.ks.kuali.org, ec2-23-22-152-140.compute-1.amazonaws.com,  18:42:27 up 49 days, 22:50,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,3.1G,22G,13%,/,,env1
4,env4.ks.kuali.org, ec2-67-202-51-70.compute-1.amazonaws.com,  18:42:28 up 49 days, 22:50,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,3.1G,22G,13%,/,,env4
6,env6.ks.kuali.org, ec2-54-224-255-243.compute-1.amazonaws.com,  18:42:30 up 49 days, 22:41,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,3.1G,22G,13%,/,,env6
11,env11.ks.kuali.org, ec2-54-242-176-208.compute-1.amazonaws.com,  18:42:31 up 41 days, 19:13,  0 users,  load average: 0.32, 0.16, 0.10, /dev/xvda1,25G,2.9G,22G,12%,/,,env11
,env12.ks.kuali.org, ec2-204-236-250-235.compute-1.amazonaws.com,  18:42:32 up 41 days, 19:13,  0 users,  load average: 0.16, 0.09, 0.14, /dev/xvda1,25G,3.1G,22G,13%,/,,env12
,env7.ks.kuali.org, ec2-50-16-75-89.compute-1.amazonaws.com,  18:42:33 up 15 days, 16:54,  0 users,  load average: 0.05, 0.03, 0.05, /dev/xvda1,25G,3.1G,22G,13%,/,,env7
14,env14.ks.kuali.org, ec2-54-224-165-253.compute-1.amazonaws.com,  18:42:34 up 6 days, 18:12,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,2.8G,22G,12%,/,,env14
15,env15.ks.kuali.org, ec2-184-72-90-191.compute-1.amazonaws.com,  18:42:36 up 6 days, 18:12,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,3.1G,22G,13%,/,,env15
,env16.ks.kuali.org, ec2-23-23-32-70.compute-1.amazonaws.com,  18:42:37 up 3 days, 20:43,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,3.3G,22G,14%,/,,env16
2,env2.ks.kuali.org, ec2-174-129-124-37.compute-1.amazonaws.com,  18:42:38 up  1:19,  0 users,  load average: 0.00, 0.04, 0.15, /dev/xvda1,25G,3.1G,22G,13%,/,,env2
3,env3.ks.kuali.org, ec2-54-224-241-234.compute-1.amazonaws.com,  18:42:39 up 26 min,  0 users,  load average: 0.00, 0.04, 0.22, /dev/xvda1,25G,2.7G,22G,11%,/,,env3
