Index Project Svr,DNS Name,EC2 Name,uptime or status, .. , no users,avg load for 1 , for 5 min,15 min,disk,size,GB,used,%
,oracle.ole.kuali.org,ole-oracle-2.czqkvue6plby.us-east-1.rds.amazonaws.com, RDS-no check,
,test.db.ole.kuali.org,ole-dev-2.czqkvue6plby.us-east-1.rds.amazonaws.com, RDS-no check,
,ole-oracle.ole.kuali.org,ole-oracle-2.czqkvue6plby.us-east-1.rds.amazonaws.com, RDS-no check,
,demo-oracle.ole.kuali.org,ole-demo-oracle-2.czqkvue6plby.us-east-1.rds.amazonaws.com, RDS-no check,
,mysql.ole.kuali.org,ole-dev-2.czqkvue6plby.us-east-1.rds.amazonaws.com, RDS-no check,
,env2.ole.kuali.org,ec2-50-17-124-177.compute-1.amazonaws.com, time-out,
,env3.ole.kuali.org, ec2-72-44-35-146.compute-1.amazonaws.com, Fail 65280, ,
,env1.ole.kuali.org, ec2-23-23-40-242.compute-1.amazonaws.com, Fail 256, ,
,env7.ole.kuali.org,ec2-54-234-14-237.compute-1.amazonaws.com, time-out,
,env8.ole.kuali.org, ec2-23-20-0-215.compute-1.amazonaws.com, Fail 256, ,
,env9.ole.kuali.org, ec2-174-129-62-168.compute-1.amazonaws.com, Fail 256, ,
,env15.ole.kuali.org, ec2-54-234-153-129.compute-1.amazonaws.com,  21:03:11 up 82 days,  3:31,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,2.6G,22G,11%,/,,
4,tst.ole.kuali.org, ec2-174-129-161-131.compute-1.amazonaws.com,  21:03:14 up 81 days,  4:59,  0 users,  load average: 0.08, 0.03, 0.05, /dev/xvda1,25G,3.8G,21G,16%,/,,
6,tst.rice2.ole.kuali.org, ec2-23-23-6-6.compute-1.amazonaws.com,  21:03:16 up 81 days,  4:58,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,2.9G,22G,12%,/,,
5,tst.docstore.ole.kuali.org, ec2-54-234-221-216.compute-1.amazonaws.com,  21:03:18 up 81 days,  4:59,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,2.9G,22G,12%,/,,
9,rice2.demo.ole.kuali.org, ec2-54-224-149-214.compute-1.amazonaws.com,  21:03:21 up 13 days, 55 min,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,2.9G,22G,12%,/,,
7,demo.ole.kuali.org, ec2-54-224-177-149.compute-1.amazonaws.com,  21:03:23 up 13 days, 56 min,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,6.4G,19G,26%,/,,
8,docstore.demo.ole.kuali.org, ec2-50-17-98-90.compute-1.amazonaws.com,  21:03:26 up 13 days, 56 min,  0 users,  load average: 0.04, 0.04, 0.05, /dev/xvda1,25G,2.8G,22G,12%,/,,
1,dev.ole.kuali.org, ec2-54-242-211-63.compute-1.amazonaws.com,  21:03:28 up 11 days,  2:49,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,3.0G,22G,13%,/,,
2,dev.docstore.ole.kuali.org, ec2-184-73-129-73.compute-1.amazonaws.com,  21:03:30 up 11 days,  2:40,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,2.9G,22G,12%,/,,
3,dev.rice2.ole.kuali.org, ec2-54-224-73-163.compute-1.amazonaws.com,  21:03:33 up 11 days,  2:30,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,2.9G,22G,12%,/,,
