key|ec2-com|Name|kuali DNS Name| ec2-status| uptime | disk | size | avail | used| percent||kuali-key|ec2-50-17-233-48.compute-1.amazonaws.com|cas|--|running|--||||||
|ks-key|ec2-23-20-133-20.compute-1.amazonaws.com|env7|--|running|--||||||
|ks-key|ec2-107-21-77-57.compute-1.amazonaws.com|--|--|running|--||||||
|ks-key|ec2-107-22-131-14.compute-1.amazonaws.com|env8|--|running|--||||||
|ks-key|ec2-50-19-44-102.compute-1.amazonaws.com|env9|demo.ks.kuali.org|running|  17:20:59 up 227 days| /dev/xvda1|25G|3.0G|22G|13%|
|ks-key|ec2-23-22-194-74.compute-1.amazonaws.com|env10|--|running|--||||||
|ks-key|ec2-50-16-178-188.compute-1.amazonaws.com|env13|--|running|--||||||
|ks-key|ec2-23-22-202-228.compute-1.amazonaws.com|temp-server-for-jc|jc.ks.kuali.org|running|  17:21:06 up 109 days| /dev/xvda1|7.9G|2.7G|5.2G|34%|
|ks-key|ec2-50-16-132-81.compute-1.amazonaws.com|env14|env14.ks.kuali.org|running|  17:21:01 up 40 days| /dev/xvda1|25G|2.9G|22G|12%|
|ks-key|ec2-23-20-22-137.compute-1.amazonaws.com|env15|env15.ks.kuali.org|running|  17:21:04 up 40 days| /dev/xvda1|25G|3.1G|22G|13%|
|kr-key|ec2-23-22-69-121.compute-1.amazonaws.com|TestMonday - proteus|--|running|--||||||
|kr-key|ec2-50-16-142-92.compute-1.amazonaws.com|TestMonday - rosalind|--|running|--||||||
|kr-key|ec2-50-17-117-223.compute-1.amazonaws.com|env11|env11.rice.kuali.org|running|  17:16:50 up 11 days| /dev/xvda1|25G|2.8G|22G|12%|
|kr-key|ec2-174-129-112-216.compute-1.amazonaws.com|env12|env12.rice.kuali.org|running|  17:16:52 up 6 days| /dev/xvda1|25G|2.8G|22G|12%|
|kr-key|ec2-107-22-109-136.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-54-242-167-31.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-23-21-26-82.compute-1.amazonaws.com|env13|env13.rice.kuali.org|running|  17:16:59 up 2 days| /dev/xvda1|25G|2.8G|22G|12%|
|kr-key|ec2-184-72-133-245.compute-1.amazonaws.com|env7|env7.rice.kuali.org|running|  17:16:56 up 3 days| /dev/xvda1|25G|2.8G|22G|12%|
|kr-key|ec2-23-22-248-93.compute-1.amazonaws.com|env8|env8.rice.kuali.org|running|  17:16:54 up 3 days| /dev/xvda1|25G|2.8G|22G|12%|
|kr-key|ec2-184-72-211-114.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-174-129-109-246.compute-1.amazonaws.com|env1|env1.rice.kuali.org|running|  17:16:45 up 11 days| /dev/xvda1|25G|2.8G|22G|12%|
|kr-key|ec2-54-225-29-157.compute-1.amazonaws.com|env2|env2.rice.kuali.org|running|  17:16:48 up 11 days| /dev/xvda1|25G|2.8G|22G|12%|
|kr-key|ec2-23-22-222-214.compute-1.amazonaws.com|ci.fn|ci.fn.kuali.org|running|  17:46:22 up 225 days| /dev/xvda1|99G|54G|45G|55%|
|kr-key|ec2-50-19-201-97.compute-1.amazonaws.com|env6|demo.rice.kuali.org|running|  17:17:01 up 18:32|25G|2.8G|22G|12%|/|
|kr-key|ec2-23-22-17-109.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-54-224-196-171.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-54-224-100-43.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-54-225-14-49.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-50-19-63-61.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-54-234-179-17.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-50-17-164-146.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-23-20-78-128.compute-1.amazonaws.com|env10|env10.rice.kuali.org|running|  17:16:43 up 11 days| /dev/xvda1|25G|2.8G|22G|12%|
|kr-key|ec2-23-22-33-206.compute-1.amazonaws.com|env5|env5.rice.kuali.org|running|  17:14:22 up 364 days| /dev/xvda1|25G|2.1G|23G|9%|
|kr-key|ec2-23-21-7-214.compute-1.amazonaws.com|env9|env9.rice.kuali.org|running|  17:14:25 up 153 days| /dev/xvda1|25G|2.2G|23G|9%|
|kr-key|ec2-107-22-133-235.compute-1.amazonaws.com|env3|env3.rice.kuali.org|running|  17:14:27 up 313 days| /dev/xvda1|25G|2.1G|23G|9%|
|kr-key|ec2-23-20-220-86.compute-1.amazonaws.com|env4|env4.rice.kuali.org|running|  17:14:29 up 323 days| /dev/xvda1|25G|2.1G|23G|9%|
|kr-key|ec2-204-236-253-122.compute-1.amazonaws.com|ci.ws.server|ws.rice.kuali.org|running|  17:14:57 up 97 days| /dev/xvde1|252G|205G|36G|86%|
|--|ec2-204-236-196-78.compute-1.amazonaws.com|ricesampleapp|--|running|--||||||
|kr-key|ec2-50-16-15-22.compute-1.amazonaws.com|env14|env14.rice.kuali.org|running|  17:16:11 up 209 days| /dev/xvda1|25G|2.7G|22G|12%|
|kr-key|ec2-50-19-200-109.compute-1.amazonaws.com|ci.rice|ci.rice.kuali.org|running|  17:16:40 up 63 days| /dev/xvde1|493G|362G|107G|78%|
|kr-key|ec2-107-22-17-24.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-184-72-91-7.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-54-242-60-128.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-50-19-63-229.compute-1.amazonaws.com|--|--|running|--||||||
